Sample #,Unique Soil ID,Set,Set ID,Soil ID,Rep,Soil.mass,SOC.mass.class,SOC.mass,mmol.Mn.reduced,mmol.C.oxidized,POXC,POXC.max.theoretical,Detectable,SOC.pct,pH,Clay.pct
67,8,UIUC,8,UIUC-8,a,0.04,15mg,15.072,0.0338,0.0253,7598,90000,1,37.68,5.3,12.5
68,8,UIUC,8,UIUC-8,b,0.04,15mg,15.072,0.0266,0.0199,5974,90000,1,37.68,5.3,12.5
69,8,UIUC,8,UIUC-8,c,4,15mg,1507.2,0.0358,0.0269,81,900,1,37.68,5.3,12.5
70,8,UIUC,8,UIUC-8,a,0.06,25mg,22.608,0.073,0.0547,10943,60000,1,37.68,5.3,12.5
71,8,UIUC,8,UIUC-8,b,0.06,25mg,22.608,0.0575,0.0431,8623,60000,1,37.68,5.3,12.5
72,8,UIUC,8,UIUC-8,c,0.06,25mg,22.608,0.0606,0.0454,9087,60000,1,37.68,5.3,12.5
73,9,UIUC,9,UIUC-9,a,2.5,std,742,0.3962,0.2972,1426,1440,1,29.68,7.7,12.5
74,9,UIUC,9,UIUC-9,b,2.5,std,742,0.3978,0.2983,1432,1440,1,29.68,7.7,12.5
75,9,UIUC,9,UIUC-9,c,2.5,std,742,0.3993,0.2995,1438,1440,1,29.68,7.7,12.5
76,9,UIUC,9,UIUC-9,a,0.05,15mg,14.84,0.0828,0.0621,14895,72000,1,29.68,7.7,12.5
77,9,UIUC,9,UIUC-9,b,0.05,15mg,14.84,0.0565,0.0423,10162,72000,1,29.68,7.7,12.5
78,9,UIUC,9,UIUC-9,c,0.05,15mg,14.84,0.0575,0.0431,10348,72000,1,29.68,7.7,12.5
79,9,UIUC,9,UIUC-9,a,0.08,25mg,23.744,0.0642,0.0481,7221,45000,1,29.68,7.7,12.5
80,9,UIUC,9,UIUC-9,b,0.08,25mg,23.744,0.0652,0.0489,7337,45000,1,29.68,7.7,12.5
81,9,UIUC,9,UIUC-9,c,0.08,25mg,23.744,0.0673,0.0505,7569,45000,1,29.68,7.7,12.5
